date,open,high,low,close,volume,average,barCount,tradeDate
2024-01-02 09:30:00-05:00,405.84,406.09,405.05,405.09,1844604.0,405.633,10592,2024-01-02
2024-01-02 09:35:00-05:00,405.09,405.34,404.24,404.36,942429.0,404.786,5768,2024-01-02
2024-01-02 09:40:00-05:00,404.38,404.4,403.59,403.84,1560639.0,403.927,9548,2024-01-02
2024-01-02 09:45:00-05:00,403.82,403.95,402.87,402.88,1292383.0,403.479,8559,2024-01-02
2024-01-02 09:50:00-05:00,402.89,403.39,402.8,402.81,979410.0,403.1,6191,2024-01-02
2024-01-02 09:55:00-05:00,402.81,403.59,402.5,403.58,906847.0,402.92,5874,2024-01-02
2024-01-02 10:00:00-05:00,403.58,404.17,403.45,403.93,940574.0,403.896,5365,2024-01-02
2024-01-02 10:05:00-05:00,403.94,403.97,403.19,403.52,454864.0,403.545,3038,2024-01-02
2024-01-02 10:10:00-05:00,403.53,403.76,403.12,403.23,535533.0,403.477,3383,2024-01-02
2024-01-02 10:15:00-05:00,403.24,403.34,402.92,402.92,442820.0,403.133,2751,2024-01-02
2024-01-02 10:20:00-05:00,402.93,403.49,402.88,403.41,482385.0,403.163,2537,2024-01-02
2024-01-02 10:25:00-05:00,403.41,403.49,402.48,402.64,789784.0,402.892,4661,2024-01-02
2024-01-02 10:30:00-05:00,402.64,402.65,402.12,402.22,610343.0,402.296,3686,2024-01-02
2024-01-02 10:35:00-05:00,402.22,402.23,401.98,402.1,572037.0,402.094,3643,2024-01-02
2024-01-02 10:40:00-05:00,402.08,402.51,402.01,402.46,591947.0,402.247,3665,2024-01-02
2024-01-02 10:45:00-05:00,402.46,402.65,401.83,401.85,568784.0,402.258,3552,2024-01-02
2024-01-02 10:50:00-05:00,401.86,402.21,401.74,402.09,456753.0,401.993,3120,2024-01-02
2024-01-02 10:55:00-05:00,402.08,402.4,401.98,402.36,409085.0,402.195,2500,2024-01-02
2024-01-02 11:00:00-05:00,402.36,402.9,402.32,402.85,492401.0,402.561,3164,2024-01-02
2024-01-02 11:05:00-05:00,402.84,403.0,402.52,402.97,415541.0,402.786,2702,2024-01-02
2024-01-02 11:10:00-05:00,402.96,403.49,402.95,403.24,806696.0,403.273,5022,2024-01-02
2024-01-02 11:15:00-05:00,403.23,403.47,403.14,403.43,394102.0,403.312,2707,2024-01-02
2024-01-02 11:20:00-05:00,403.42,403.54,403.15,403.27,438337.0,403.376,3043,2024-01-02
2024-01-02 11:25:00-05:00,403.27,403.58,403.22,403.56,268563.0,403.438,1755,2024-01-02
2024-01-02 11:30:00-05:00,403.55,403.78,403.5,403.74,314858.0,403.674,1957,2024-01-02
2024-01-02 11:35:00-05:00,403.75,403.85,403.53,403.63,259149.0,403.679,1760,2024-01-02
2024-01-02 11:40:00-05:00,403.63,403.79,403.55,403.79,215467.0,403.655,1400,2024-01-02
2024-01-02 11:45:00-05:00,403.78,404.15,403.71,404.09,467533.0,404.0,3069,2024-01-02
2024-01-02 11:50:00-05:00,404.08,404.12,403.75,403.83,408118.0,403.966,2276,2024-01-02
2024-01-02 11:55:00-05:00,403.83,404.04,403.8,403.97,318388.0,403.94,1856,2024-01-02
2024-01-02 12:00:00-05:00,403.97,404.14,403.91,404.08,272940.0,404.02,1596,2024-01-02
2024-01-02 12:05:00-05:00,404.07,404.18,403.96,404.03,225311.0,404.078,1257,2024-01-02
2024-01-02 12:10:00-05:00,404.02,404.09,403.85,403.97,221882.0,404.002,1459,2024-01-02
2024-01-02 12:15:00-05:00,403.98,403.98,403.37,403.56,503789.0,403.668,3247,2024-01-02
2024-01-02 12:20:00-05:00,403.56,403.83,403.5,403.59,221035.0,403.639,1426,2024-01-02
2024-01-02 12:25:00-05:00,403.56,403.75,403.49,403.52,160726.0,403.614,1042,2024-01-02
2024-01-02 12:30:00-05:00,403.52,403.8,403.34,403.79,321941.0,403.545,1569,2024-01-02
