date,open,high,low,close,orb_high,orb_low
2024-01-02,405.84,406.09,400.24,402.56,406.09,404.24
2024-01-03,399.93,401.0,397.89,398.34,400.49,399.26
2024-01-04,396.45,399.59,396.06,396.24,397.56,396.19
2024-01-05,396.44,399.56,395.34,396.77,397.55,396.16
2024-01-08,397.99,405.24,397.83,405.0,399.34,397.83
2024-01-09,401.91,406.69,401.71,405.79,403.0,401.85
2024-01-10,406.07,409.52,405.17,408.53,406.9,406.06
2024-01-11,409.78,411.21,404.24,409.34,411.21,409.6
2024-01-12,410.41,411.25,408.15,409.56,410.68,409.62
2024-01-16,408.31,411.12,406.83,409.53,409.02,407.88
2024-01-17,406.17,407.59,402.92,407.2,406.61,404.49
2024-01-18,410.52,413.58,409.16,413.19,411.7,410.49
2024-01-19,415.22,421.34,414.62,421.23,415.44,414.62
2024-01-22,423.41,424.73,421.12,421.71,424.73,423.39
2024-01-23,422.43,423.65,420.57,423.43,422.44,420.57
2024-01-24,427.44,429.85,425.33,425.79,427.54,426.12
2024-01-25,428.35,429.04,423.98,426.31,428.45,427.23
2024-01-26,424.42,426.21,423.15,423.77,424.76,423.74
2024-01-29,424.28,428.35,423.61,428.16,425.01,423.85
2024-01-30,427.1,427.68,424.38,425.21,427.68,426.94
2024-01-31,420.85,422.87,416.79,416.88,421.53,420.2
2024-02-01,418.79,422.38,417.81,422.07,419.57,418.51
2024-02-02,423.8,430.24,422.79,429.14,424.94,422.79
2024-02-05,429.07,429.61,425.0,428.45,429.42,428.52
2024-02-06,429.58,430.22,425.22,427.65,430.22,428.66
2024-02-07,430.41,432.83,429.09,432.03,430.51,429.24
2024-02-08,432.11,433.56,431.42,432.81,432.5,431.7
2024-02-09,433.94,437.85,433.14,437.08,433.99,433.14
2024-02-12,436.94,439.14,434.65,435.31,437.45,436.38
2024-02-13,427.28,431.27,425.33,428.52,428.22,426.28
2024-02-14,431.26,433.65,428.87,433.24,431.97,430.32
2024-02-15,433.92,434.98,431.33,434.53,434.28,432.92
2024-02-16,434.9,434.99,429.85,430.59,434.99,433.93
2024-02-20,428.54,430.08,423.5,427.32,430.08,427.53
2024-02-21,424.55,425.7,421.63,425.61,424.96,423.82
2024-02-22,434.49,439.12,433.71,438.15,435.05,433.71
2024-02-23,439.65,440.59,435.79,436.74,440.59,439.47
2024-02-26,437.6,438.6,436.35,436.63,438.4,437.36
2024-02-27,437.67,437.99,435.02,437.62,437.89,436.68
2024-02-28,435.44,436.67,434.3,435.28,435.94,434.9
2024-02-29,438.23,440.09,435.02,439.12,439.27,437.98
2024-03-01,439.9,446.58,439.84,445.67,441.07,439.84
2024-03-04,445.61,446.04,443.77,443.91,445.73,444.59
2024-03-05,440.94,440.95,433.65,436.06,440.95,439.09
2024-03-06,440.32,441.99,436.89,438.86,440.83,439.46
2024-03-07,442.39,446.72,440.86,445.52,443.43,442.02
2024-03-08,445.81,448.64,438.34,439.0,446.62,445.07
2024-03-11,437.51,438.66,435.44,437.35,437.84,435.84
2024-03-12,439.74,444.02,436.46,443.68,440.4,437.6
2024-03-13,442.64,442.67,439.12,440.23,442.67,441.44
2024-03-14,441.5,442.03,436.39,439.19,442.03,440.56
2024-03-15,436.07,436.78,432.74,433.88,436.78,435.02
2024-03-18,438.73,441.04,437.24,437.47,440.07,438.57
2024-03-19,435.45,438.98,433.33,438.58,435.69,433.91
2024-03-20,439.78,444.11,438.06,443.81,440.16,438.61
2024-03-21,448.88,449.34,445.67,445.79,448.97,448.05
2024-03-22,445.35,447.49,444.49,446.22,445.52,444.9
2024-03-25,443.55,446.26,442.54,444.74,444.09,443.13
2024-03-26,446.29,447.23,443.09,443.3,446.91,445.85
2024-03-27,446.43,446.54,441.93,444.93,446.54,444.59
2024-03-28,444.79,445.64,443.65,443.99,444.9,443.76
2024-04-01,444.97,447.53,443.02,444.99,447.27,444.55
2024-04-02,440.08,441.43,438.03,441.07,440.19,439.09
2024-04-03,438.96,444.0,438.95,442.05,440.03,438.95
2024-04-04,446.33,446.95,435.11,435.24,446.95,446.0
2024-04-05,436.78,443.17,435.96,440.51,437.59,436.01
2024-04-08,441.42,442.5,439.2,440.62,441.6,439.31
2024-04-09,442.94,443.24,437.44,442.26,443.24,441.79
