date,open,high,low,close,orb_high,orb_low
2025-01-02,80.53,81.61,76.53,78.59,80.81,78.6
2025-01-03,79.99,82.91,79.62,82.41,81.3,79.81
2025-01-06,84.97,86.85,84.03,85.2,85.75,84.86
2025-01-07,85.72,85.89,79.7,80.61,85.89,84.6
2025-01-08,80.56,81.41,78.44,80.61,80.86,79.88
2025-01-10,78.8,78.82,75.23,76.77,78.82,77.39
2025-01-13,74.04,76.2,73.34,76.05,74.25,73.38
2025-01-14,77.42,78.06,74.19,75.75,77.98,76.86
2025-01-15,79.31,81.48,78.6,80.89,79.68,78.6
2025-01-16,82.01,82.05,79.2,79.23,82.05,80.99
2025-01-17,83.69,83.94,81.84,83.16,83.74,82.18
2025-01-21,84.45,85.15,82.33,84.53,84.53,83.52
2025-01-22,86.84,88.91,86.71,87.81,87.62,86.71
2025-01-23,86.54,88.38,86.27,88.38,86.8,86.27
2025-01-24,88.43,88.83,86.01,86.75,88.52,87.88
2025-01-27,77.58,81.03,77.18,79.07,79.52,77.35
2025-01-28,79.58,83.17,78.0,82.65,79.77,78.49
2025-01-29,82.91,82.98,80.26,82.1,82.98,82.07
2025-01-30,83.47,84.59,80.86,83.17,83.69,82.86
2025-01-31,84.95,87.09,82.18,82.71,85.66,84.82
2025-02-03,78.53,81.99,77.34,80.71,79.64,78.06
2025-02-04,80.9,83.94,80.73,83.68,82.04,80.73
2025-02-05,82.35,84.82,81.76,84.75,82.77,81.98
2025-02-06,84.96,86.13,84.19,86.03,84.99,84.5
2025-02-07,86.26,87.19,82.35,82.72,87.19,86.07
2025-02-10,84.74,86.2,84.5,85.66,84.99,84.5
2025-02-11,84.06,85.99,84.01,85.03,85.14,84.01
2025-02-12,82.28,85.61,82.1,85.18,83.15,82.1
2025-02-13,85.98,88.96,85.58,88.81,86.93,85.58
2025-02-14,88.81,90.18,88.6,89.83,89.19,88.6
2025-02-18,90.63,90.75,88.75,90.39,90.75,90.21
2025-02-19,90.0,91.12,88.92,90.48,90.18,89.58
2025-02-20,90.05,90.23,86.89,89.26,90.23,89.6
2025-02-21,89.77,89.79,83.47,83.67,89.79,88.84
2025-02-24,84.5,85.05,80.5,80.66,85.05,83.85
2025-02-25,80.33,80.38,75.78,77.57,80.38,79.56
2025-02-26,78.57,80.45,76.69,78.07,78.97,78.04
2025-02-27,79.72,80.17,71.48,71.6,80.17,79.27
2025-02-28,71.46,75.17,70.07,74.93,71.61,70.07
2025-03-03,76.37,77.05,68.43,70.07,77.05,75.4
2025-03-04,68.75,72.77,66.01,69.27,69.64,67.9
2025-03-05,69.55,72.69,67.49,72.02,69.83,68.47
2025-03-06,68.37,70.5,65.17,66.07,68.47,67.51
2025-03-07,65.54,68.01,62.89,67.43,66.42,65.44
2025-03-10,64.0,64.19,57.88,59.81,64.15,63.05
2025-03-11,59.39,61.85,57.37,59.14,60.5,59.07
2025-03-12,61.94,62.66,59.16,61.16,62.65,61.71
2025-03-13,60.8,60.85,57.04,57.78,60.85,60.05
2025-03-14,59.71,62.23,59.51,61.91,60.95,59.61
2025-03-17,61.87,64.28,61.15,63.07,63.05,61.71
2025-03-18,61.77,61.78,59.01,59.91,61.78,60.57
2025-03-19,60.68,63.91,59.94,62.2,60.93,60.31
2025-03-20,60.66,63.63,60.37,61.59,61.71,60.37
2025-03-21,59.53,62.42,59.07,62.23,60.05,59.07
2025-03-24,65.06,66.53,64.81,66.13,65.42,64.81
2025-03-25,66.47,67.38,66.09,67.3,66.67,66.25
2025-03-26,66.64,66.99,62.76,63.41,66.99,66.36
2025-03-27,62.6,64.23,61.75,62.29,63.0,61.8
2025-03-28,61.51,61.81,56.97,57.34,61.61,60.87
2025-03-31,54.73,57.63,53.04,57.3,54.94,53.38
2025-04-01,56.68,59.0,55.62,58.63,57.14,56.3
2025-04-02,56.19,61.2,56.09,59.93,57.88,56.09
2025-04-03,52.44,53.83,50.11,50.3,53.83,52.31
2025-04-04,46.0,46.78,41.03,41.09,46.78,45.23
2025-04-07,36.75,46.83,35.0,41.25,37.14,35.5
2025-04-08,45.37,46.81,37.1,38.93,45.74,44.76
2025-04-09,38.76,53.41,38.73,52.68,40.31,38.73
2025-04-10,48.68,49.34,41.57,46.16,49.34,48.26
2025-04-11,45.67,49.07,44.62,48.61,46.57,45.21
