date,open,high,low,close,orb_high,orb_low,atr
2025-03-10,64.0000,64.1900,57.8800,59.8100,64.1500,63.0500,
2025-03-11,59.3900,61.8500,57.3700,59.1400,60.5000,59.0700,
2025-03-12,61.9400,62.6600,59.1600,61.1600,62.6500,61.7100,
2025-03-13,60.8000,60.8500,57.0400,57.7800,60.8500,60.0500,
2025-03-14,59.7100,62.2300,59.5100,61.9100,60.9500,59.6100,
2025-03-17,61.8700,64.2800,61.1500,63.0700,63.0500,61.7100,
2025-03-18,61.7700,61.7800,59.0100,59.9100,61.7800,60.5700,
2025-03-19,60.6800,63.9100,59.9400,62.2000,60.9300,60.3100,
2025-03-20,60.6600,63.6300,60.3700,61.5900,61.7100,60.3700,
2025-03-21,59.5300,62.4200,59.0700,62.2300,60.0500,59.0700,
2025-03-24,65.0600,66.5300,64.8100,66.1300,65.4200,64.8100,
2025-03-25,66.4700,67.3800,66.0900,67.3000,66.6700,66.2500,
2025-03-26,66.6400,66.9900,62.7600,63.4100,66.9900,66.3600,
2025-03-27,62.6000,64.2300,61.7500,62.2900,63.0000,61.8000,3.8064
2025-03-28,61.5100,61.8100,56.9700,57.3400,61.6100,60.8700,3.7357
2025-03-31,54.7300,57.6300,53.0400,57.3000,54.9400,53.3800,3.7436
2025-04-01,56.6800,59.0000,55.6200,58.6300,57.1400,56.3000,3.7336
2025-04-02,56.1900,61.2000,56.0900,59.9300,57.8800,56.0900,3.8043
2025-04-03,52.4400,53.8300,50.1100,50.3000,53.8300,52.3100,4.1879
2025-04-04,46.0000,46.7800,41.0300,41.0900,46.7800,45.2300,4.6264
2025-04-07,36.7500,46.8300,35.0000,41.2500,37.1400,35.5000,5.1814
2025-04-08,45.3700,46.8100,37.1000,38.9300,45.7400,44.7600,5.5893
2025-04-09,38.7600,53.4100,38.7300,52.6800,40.3100,38.7300,6.4050
2025-04-10,48.6800,49.3400,41.5700,46.1600,49.3400,48.2600,6.9593
2025-04-11,45.6700,49.0700,44.6200,48.6100,46.5700,45.2100,6.9700
2025-04-14,51.9000,52.0600,48.0700,49.5900,52.0600,50.8300,7.1629
2025-04-15,49.9600,51.2100,49.1900,49.7700,50.6100,49.8300,6.9829
2025-04-16,46.8400,48.0100,43.1600,45.2900,47.5900,46.7500,7.2779
2025-04-17,46.0900,46.2900,44.3500,45.1700,46.2000,45.2500,7.0364
2025-04-21,43.3700,43.6400,40.2400,41.8600,43.6400,42.8700,7.0607
2025-04-22,43.4600,45.9800,43.1000,45.0600,43.5000,43.1000,7.1136
2025-04-23,49.2400,50.8300,47.6300,48.0800,50.4200,49.0100,7.1607
2025-04-24,48.7400,52.2800,48.5400,52.1400,48.9900,48.5400,6.7593
2025-04-25,52.0400,54.0700,51.4800,53.8700,52.5000,51.6300,6.2821
2025-04-28,54.0200,54.6400,51.6400,53.8300,54.2300,53.4800,5.6514
2025-04-29,53.0300,55.1700,52.8300,54.8300,53.4000,52.8300,5.1250
2025-04-30,51.9800,55.4200,50.3200,54.8300,51.9800,51.0300,4.4407
2025-05-01,57.5600,58.8900,56.6300,56.7800,57.7400,57.0100,3.9371
2025-05-02,58.6400,60.1900,58.0300,59.4500,58.9300,58.1400,3.8629
2025-05-05,57.9000,59.5000,57.7000,58.3800,58.3100,57.7500,3.7064
2025-05-06,56.0600,58.0400,55.5700,56.7300,56.6500,55.9000,3.7629
2025-05-07,56.9700,58.2600,55.0800,57.4100,57.1600,56.6800,3.5179
2025-05-08,59.2000,60.7100,57.6600,59.1200,59.3000,58.6600,3.6150
2025-05-09,59.7900,60.2700,58.3200,59.0000,60.2700,59.7900,3.4021
2025-05-12,65.8500,66.1600,63.8500,66.1200,65.8700,64.5200,3.6193
2025-05-13,66.6700,69.8600,66.3600,69.1600,67.2900,66.3600,3.4743
2025-05-14,69.6100,70.6100,69.2100,70.3800,70.5000,69.6000,3.2779
2025-05-15,69.4800,71.6900,68.9300,70.6000,69.8400,69.2700,3.2900
2025-05-16,71.1100,71.5200,69.6500,71.4500,71.1200,70.4800,3.2093
2025-05-19,68.4700,71.8600,68.4300,71.6200,69.5600,68.4300,3.2871
2025-05-20,70.5800,71.1700,69.4000,70.8800,70.8200,70.3700,3.0814
2025-05-21,69.2500,71.9900,67.1800,67.9200,69.8900,69.2200,3.1350
2025-05-22,68.1600,69.7600,67.6200,68.2800,68.6300,67.6200,3.0443
2025-05-23,65.1000,67.3500,64.8500,66.3100,66.0900,64.8500,3.1607
