交易日期,品种,方向,入场时间(ET),出场时间(ET),入场价格,出场价格,止损价格,股数,风险仓,杠杆仓,仓位价值,ATR,ATR止损距离,风险点数,风险金额,杠杆倍数,佣金,盈亏,盈亏比例,R倍数,出场原因,交易前资金,交易后资金,是否交易日
2024-01-02,TQQQ,做空,09:35:00,15:55:00,49.06,48.13,49.14,2038,3131,2038,99984.28,1.60,0.08,0.08,250.00,4.00,1.02,1894.32,0.0758,11.65,End of Day,25000.00,26894.32,是
2024-01-03,TQQQ,做多,09:35:00,09:55:00,47.19,47.11,47.11,2279,3343,2279,107546.01,1.61,0.08,0.08,268.94,4.00,1.14,-184.44,-0.0069,-1.00,Stop Loss,26894.32,26709.88,是
2024-01-04,TQQQ,做多,09:35:00,09:40:00,46.10,46.02,46.02,2317,3433,2317,106813.70,1.56,0.08,0.08,267.10,4.00,1.16,-181.39,-0.0068,-1.00,Stop Loss,26709.88,26528.50,是
2024-01-05,TQQQ,做多,09:35:00,09:40:00,46.17,46.09,46.09,2298,3528,2298,106098.66,1.50,0.08,0.08,265.28,4.00,1.15,-173.91,-0.0066,-1.00,Stop Loss,26528.50,26354.59,是
2024-01-08,TQQQ,做多,09:35:00,15:55:00,46.66,48.81,46.58,2259,3230,2259,105404.94,1.63,0.08,0.08,263.55,4.00,1.13,4855.72,0.1842,26.36,End of Day,26354.59,31210.31,是
2024-01-09,TQQQ,做多,09:35:00,09:40:00,48.05,47.97,47.97,2598,3757,2598,124833.90,1.66,0.08,0.08,312.10,4.00,1.30,-217.12,-0.0070,-1.00,Stop Loss,31210.31,30993.19,是
2024-01-10,TQQQ,做多,09:35:00,09:45:00,49.32,49.23,49.23,2513,3606,2513,123941.16,1.72,0.09,0.09,309.93,4.00,1.26,-217.20,-0.0070,-1.00,Stop Loss,30993.19,30775.99,是
2024-01-11,TQQQ,做多,09:35:00,09:40:00,50.72,50.63,50.63,2427,3617,2427,123097.44,1.70,0.09,0.09,307.76,4.00,1.21,-207.68,-0.0067,-1.00,Stop Loss,30775.99,30568.31,是
2024-01-12,TQQQ,做空,09:35:00,09:40:00,50.53,50.61,50.61,2419,3694,2419,122232.07,1.65,0.08,0.08,305.68,4.00,1.21,-201.38,-0.0066,-1.00,Stop Loss,30568.31,30366.93,是
2024-01-16,TQQQ,做多,09:35:00,09:40:00,49.96,49.88,49.88,2431,3625,2431,121452.76,1.67,0.08,0.08,303.67,4.00,1.22,-204.81,-0.0067,-1.00,Stop Loss,30366.93,30162.12,是
2024-01-17,TQQQ,做空,09:35:00,09:40:00,48.50,48.59,48.59,2487,3408,2487,120619.50,1.77,0.09,0.09,301.62,4.00,1.24,-221.34,-0.0073,-1.00,Stop Loss,30162.12,29940.78,是
2024-01-18,TQQQ,做多,09:35:00,09:45:00,50.90,50.81,50.81,2352,3173,2352,119716.80,1.89,0.09,0.09,299.41,4.00,1.18,-223.10,-0.0075,-1.00,Stop Loss,29940.78,29717.67,是
2024-01-22,TQQQ,做多,09:35:00,09:40:00,55.82,55.72,55.72,2129,2908,2129,118840.78,2.04,0.10,0.10,297.18,4.00,1.06,-218.60,-0.0074,-1.00,Stop Loss,29717.67,29499.07,是
2024-01-23,TQQQ,做空,09:35:00,09:40:00,54.38,54.47,54.47,2169,3132,2169,117950.22,1.88,0.09,0.09,294.99,4.00,1.08,-205.36,-0.0070,-1.00,Stop Loss,29499.07,29293.71,是
2024-01-24,TQQQ,做空,09:35:00,09:45:00,56.64,56.74,56.74,2068,3016,2068,117131.52,1.94,0.10,0.10,292.94,4.00,1.03,-201.85,-0.0069,-1.00,Stop Loss,29293.71,29091.86,是
2024-01-25,TQQQ,做空,09:35:00,10:20:00,57.08,57.18,57.18,2038,2913,2038,116329.04,2.00,0.10,0.10,290.92,4.00,1.02,-204.53,-0.0070,-1.00,Stop Loss,29091.86,28887.33,是
2024-01-26,TQQQ,做多,09:35:00,09:40:00,55.76,55.66,55.66,2072,2912,2072,115534.72,1.98,0.10,0.10,288.87,4.00,1.04,-206.53,-0.0071,-1.00,Stop Loss,28887.33,28680.80,是
2024-01-29,TQQQ,做多,09:35:00,10:00:00,55.66,55.56,55.56,2061,3007,2061,114715.26,1.91,0.10,0.10,286.81,4.00,1.03,-197.56,-0.0069,-1.00,Stop Loss,28680.80,28483.24,是
2024-01-30,TQQQ,做多,09:35:00,10:00:00,56.75,56.66,56.66,2007,3018,2007,113897.25,1.89,0.09,0.09,284.83,4.00,1.00,-190.38,-0.0067,-1.00,Stop Loss,28483.24,28292.86,是
2024-01-31,TQQQ,做多,09:35:00,09:40:00,54.35,54.25,54.25,2082,2809,2082,113156.70,2.01,0.10,0.10,282.93,4.00,1.04,-210.73,-0.0074,-1.00,Stop Loss,28292.86,28082.13,是
2024-02-01,TQQQ,做多,09:35:00,09:40:00,53.54,53.44,53.44,2098,2845,2098,112326.92,1.97,0.10,0.10,280.82,4.00,1.05,-208.08,-0.0074,-1.00,Stop Loss,28082.13,27874.05,是
